bin_start_utc,cohort,z,art_count,tone,react_bar,r_react,drift+15m,drift+30m,drift+1h,drift+3h
2026-05-16 04:30:00+00:00,overnight,6.070416835289357,21.0,0.5497,2026-05-18 09:30:00-04:00,-0.008211929626291137,-0.01076023053730879,-0.005799887942503412,-0.01870406212532405,-0.02115782421204182
2026-05-21 15:00:00+00:00,intraday,4.046944556859571,21.0,0.1756,2026-05-21 11:15:00-04:00,-0.0001948753409697357,-0.0018680804320583277,0.0017181198254307972,0.0004494325148034495,-0.003806492194540434
2026-05-22 08:00:00+00:00,overnight,4.721435316336167,24.0,1.0024,2026-05-22 09:30:00-04:00,-0.007124704266367465,-0.006737953284239762,-0.013037769118144915,-0.013600923398036424,-0.013114303893308477
2026-05-27 15:00:00+00:00,intraday,7.0821529745042495,23.0,,2026-05-27 11:15:00-04:00,-6.146576948895532e-05,0.0024750579897536706,0.0016943831542537424,0.003924048770896915,0.013753620662064092
2026-05-27 16:45:00+00:00,intraday,6.4076622150276545,21.0,,2026-05-27 13:00:00-04:00,-0.0008463130538342023,0.0013984291873631038,0.005592334273741506,0.005268504003762997,
2026-06-01 06:45:00+00:00,overnight,9.442870632672333,30.0,1.87,2026-06-01 09:30:00-04:00,0.008990220238817903,0.008587728627713176,0.007099742285179733,0.01589249568513229,0.014114596125825996
2026-06-01 08:15:00+00:00,overnight,6.7449075947659525,22.0,1.1942,2026-06-01 09:30:00-04:00,0.008990220238817903,0.008587728627713176,0.007099742285179733,0.01589249568513229,0.014114596125825996
2026-06-01 12:00:00+00:00,overnight,7.7566437339808445,25.0,1.2951,2026-06-01 09:30:00-04:00,0.008990220238817903,0.008587728627713176,0.007099742285179733,0.01589249568513229,0.014114596125825996
2026-06-01 18:00:00+00:00,intraday,6.070416835289357,20.0,0.7816,2026-06-01 14:15:00-04:00,0.0044942630092847935,0.0002732836006578143,-0.0006370950834735378,-0.0008394734122623149,
2026-06-01 20:45:00+00:00,overnight,6.4076622150276545,21.0,0.3171,2026-06-02 09:30:00-04:00,-0.001019675648006535,0.013133241975479715,0.013639435592513793,0.004588735633040519,-0.01021591813970546
2026-06-02 07:00:00+00:00,overnight,6.913530284635101,23.0,1.9917,2026-06-02 09:30:00-04:00,-0.001019675648006535,0.013133241975479715,0.013639435592513793,0.004588735633040519,-0.01021591813970546
2026-06-02 09:15:00+00:00,overnight,5.73317145555106,20.0,1.1389,2026-06-02 09:30:00-04:00,-0.001019675648006535,0.013133241975479715,0.013639435592513793,0.004588735633040519,-0.01021591813970546
