date,tone,art_count
2019-03-31,1.504,56
2019-04-01,1.207,108
2019-04-02,1.403,119
2019-04-03,1.094,145
2019-04-04,1.129,99
2019-04-05,1.102,219
2019-04-06,2.415,54
2019-04-07,0.981,30
2019-04-08,1.692,121
2019-04-09,0.528,144
2019-04-10,1.031,216
2019-04-11,1.366,197
2019-04-12,1.503,142
2019-04-13,1.578,56
2019-04-14,0.545,30
2019-04-15,0.951,94
2019-04-16,1.263,160
2019-04-17,1.159,128
2019-04-18,0.945,104
2019-04-19,1.282,164
2019-04-20,1.157,25
2019-04-21,1.614,23
2019-04-22,0.429,77
2019-04-23,1.403,381
2019-04-24,1.321,195
2019-04-25,0.73,156
2019-04-26,-0.154,243
2019-04-27,1.52,52
2019-04-28,1.177,24
2019-04-29,1.112,92
2019-04-30,0.776,174
2019-05-01,1.506,141
2019-05-02,1.361,100
2019-05-03,0.858,106
2019-05-04,-0.262,41
2019-05-05,0.293,32
2019-05-06,-0.326,140
2019-05-07,0.422,156
2019-05-08,0.6,140
2019-05-09,0.542,165
2019-05-10,0.668,134
2019-05-11,0.801,34
2019-05-12,-0.231,45
2019-05-13,-1.4,253
2019-05-14,-0.597,266
2019-05-15,-0.661,356
2019-05-16,-0.032,330
2019-05-17,-0.222,237
2019-05-18,-0.148,59
2019-05-19,-0.339,32
2019-05-20,0.165,122
2019-05-21,-0.002,216
2019-05-22,-1.131,185
2019-05-23,-1.418,332
2019-05-24,0.801,152
2019-05-25,0.753,46
2019-05-26,-1.087,58
2019-05-27,1.607,372
2019-05-28,1.679,372
2019-05-29,-0.299,330
2019-05-30,0.762,137
2019-05-31,0.873,94
2019-06-01,0.783,45
2019-06-02,1.341,23
2019-06-03,0.832,182
2019-06-04,-0.369,219
2019-06-05,-1.242,298
2019-06-06,0.877,132
2019-06-07,0.795,102
2019-06-08,0.836,38
2019-06-09,0.928,45
2019-06-10,0.415,330
2019-06-11,0.381,284
2019-06-12,1.525,156
2019-06-13,0.295,157
2019-06-14,-1.852,210
2019-06-15,1.573,35
2019-06-16,1.646,25
2019-06-17,2.177,176
2019-06-18,0.655,369
2019-06-19,1.158,154
2019-06-20,1.718,89
2019-06-21,0.683,93
2019-06-22,-1.946,107
2019-06-23,-0.7,32
2019-06-24,-1.84,209
2019-06-25,0.765,87
2019-06-26,-0.477,286
2019-06-27,-0.694,337
2019-06-28,0.985,127
2019-06-29,1.0,47
2019-06-30,2.454,44
2019-07-01,-0.543,206
2019-07-02,2.257,213
2019-07-03,2.06,138
2019-07-04,1.557,68
2019-07-05,-0.067,209
2019-07-06,0.397,69
2019-07-07,1.17,94
2019-07-08,1.544,112
2019-07-09,1.69,159
2019-07-10,1.368,139
2019-07-11,0.066,321
2019-07-12,1.516,130
2019-07-13,1.01,61
2019-07-14,2.324,44
2019-07-15,2.078,197
2019-07-16,1.834,134
2019-07-17,1.335,115
2019-07-18,-0.922,248
2019-07-19,0.828,122
2019-07-20,1.655,41
2019-07-21,1.148,29
2019-07-22,0.964,91
2019-07-23,2.034,150
2019-07-24,1.181,98
2019-07-25,1.155,98
2019-07-26,1.578,115
2019-07-27,1.218,41
2019-07-28,1.189,33
2019-07-29,1.909,145
2019-07-30,1.497,166
2019-07-31,1.358,137
2019-08-01,1.586,112
2019-08-02,0.19,118
2019-08-03,0.412,42
2019-08-04,1.479,14
2019-08-05,-3.884,382
2019-08-06,-0.896,225
2019-08-07,1.363,104
2019-08-08,1.726,65
2019-08-09,-0.677,105
2019-08-10,-0.189,29
2019-08-11,-0.514,52
2019-08-12,-0.362,149
2019-08-13,-1.184,247
2019-08-14,0.347,133
2019-08-15,0.507,133
2019-08-16,-1.194,443
2019-08-17,-0.73,97
2019-08-18,-0.585,20
2019-08-19,0.255,542
2019-08-20,0.337,313
2019-08-21,1.98,155
2019-08-22,1.993,104
2019-08-23,-3.2,397
2019-08-24,-3.064,132
2019-08-25,0.891,46
2019-08-26,1.015,186
2019-08-27,0.402,206
2019-08-28,1.287,163
2019-08-29,1.244,116
2019-08-30,1.053,122
2019-08-31,0.471,37
2019-09-01,0.433,24
2019-09-02,0.787,43
2019-09-03,-2.673,285
2019-09-04,0.24,426
2019-09-05,0.281,230
2019-09-06,1.222,118
2019-09-07,1.66,37
2019-09-08,1.134,25
2019-09-09,1.424,69
2019-09-10,2.571,155
2019-09-11,-1.26,180
2019-09-12,1.336,83
2019-09-13,1.247,90
2019-09-14,1.266,32
2019-09-15,1.891,22
2019-09-16,0.905,73
2019-09-17,1.511,121
2019-09-18,1.44,97
2019-09-19,1.153,92
2019-09-20,1.808,109
2019-09-21,1.165,61
2019-09-22,0.826,29
2019-09-23,-0.308,147
2019-09-24,0.895,130
2019-09-25,-0.283,181
2019-09-26,-0.236,158
2019-09-27,0.731,120
2019-09-28,0.995,27
2019-09-29,0.248,27
2019-09-30,1.092,63
2019-10-01,-0.209,159
2019-10-02,1.346,74
2019-10-03,0.036,151
2019-10-04,-0.815,203
2019-10-05,0.965,39
2019-10-06,0.564,20
2019-10-07,-0.359,229
2019-10-08,-2.047,405
2019-10-09,-0.398,245
2019-10-10,0.622,178
2019-10-11,0.082,159
2019-10-12,1.631,25
2019-10-13,2.518,49
2019-10-14,1.251,167
2019-10-15,2.113,227
2019-10-16,0.908,80
2019-10-17,1.783,118
2019-10-18,1.112,162
2019-10-19,1.192,44
2019-10-20,1.168,29
2019-10-21,0.883,210
2019-10-22,1.752,163
2019-10-23,0.086,181
2019-10-24,1.526,147
2019-10-25,1.178,223
2019-10-26,1.119,41
2019-10-27,0.795,15
2019-10-28,2.552,140
2019-10-29,1.464,208
2019-10-30,1.835,110
2019-10-31,2.141,77
2019-11-01,2.163,99
2019-11-02,2.253,36
2019-11-03,1.247,22
2019-11-04,0.944,149
2019-11-05,1.257,174
2019-11-06,1.501,116
2019-11-07,1.292,132
2019-11-08,1.301,93
2019-11-09,1.393,35
2019-11-10,0.613,45
2019-11-11,0.561,129
2019-11-12,0.761,192
2019-11-13,1.104,192
2019-11-14,0.472,241
2019-11-15,1.192,251
2019-11-16,1.514,71
2019-11-17,1.118,32
2019-11-18,0.711,228
2019-11-19,1.599,203
2019-11-20,1.43,150
2019-11-21,1.331,101
2019-11-22,1.187,162
2019-11-23,1.335,46
2019-11-24,2.001,35
2019-11-25,0.795,309
2019-11-26,1.181,188
2019-11-27,1.758,200
2019-11-28,1.35,214
2019-11-29,1.626,130
2019-11-30,2.464,46
