date,category,day_n,day_tone,day_tone_sd
2022-12-10,competitors,111,0.1595141335473386,2.1412967935989515
2022-12-10,hyperscalers,1391,-0.222110839325897,3.0731960102948506
2022-12-10,macro,2362,-1.215981350024093,2.758271087955685
2022-12-10,nvda,43,0.205412479687959,1.821366819832083
2022-12-11,ai_companies,2,5.029935251867365,1.933133191807255
2022-12-11,brokers,215,-0.1046852218264589,3.0075094528906723
2022-12-11,competitors,69,1.1565531458322882,2.5369406005799804
2022-12-11,hyperscalers,994,0.2135366153868231,2.8698342874916305
2022-12-11,macro,1613,-1.3408333535296793,2.801529415172485
2022-12-11,nvda,62,-0.7637577900837672,1.1708714251394854
2022-12-12,ai_companies,9,0.6300519402837655,2.767822612141796
2022-12-12,brokers,813,-0.3022515743601744,2.227001368121536
2022-12-12,competitors,255,1.376242674125419,2.8407665172072405
2022-12-12,hyperscalers,2418,0.3372669759394272,2.768256669745289
2022-12-12,macro,3820,-1.3831111836905765,2.820015933753832
2022-12-12,nvda,132,0.4714233178037267,2.016573646990059
2022-12-13,ai_companies,6,-0.3568160935378533,1.925139112390136
2022-12-13,brokers,831,0.0079546172044674,2.303125565265478
2022-12-13,competitors,238,1.2153953402286846,2.144485326869328
2022-12-13,hyperscalers,2785,0.3750028204378272,2.826943637486821
2022-12-13,macro,5464,-0.4987338858362076,3.1455051267821843
2022-12-13,nvda,159,0.4121308555857443,2.29073438526565
2022-12-14,ai_companies,2,1.91113352716628,3.499940109415405
2022-12-14,brokers,939,-0.1925101860780096,2.282306200995376
2022-12-14,competitors,247,1.7643506570776148,2.251465518427263
2022-12-14,hyperscalers,2507,0.4686657522675423,3.05145469819222
2022-12-14,macro,5219,-0.2505467299252378,3.684528539046288
2022-12-14,nvda,129,0.919153556146629,2.2190147922785584
2022-12-15,ai_companies,2,3.2639443431619237,5.078291514175358
2022-12-15,brokers,1063,0.0652382930576783,2.786545217086965
2022-12-15,competitors,254,1.3211293026864417,2.5847202937412117
2022-12-15,hyperscalers,2788,0.0132356187352048,3.157282048301311
2022-12-15,macro,5955,-1.3587834729627442,2.470220925019197
2022-12-15,nvda,151,0.5153786471650321,2.5064638449808494
2022-12-16,ai_companies,3,4.4737187768289735,1.334014648017
2022-12-16,brokers,889,-0.4474615463647029,2.6014166348843824
2022-12-16,competitors,234,1.0504562175357242,2.225893529791457
2022-12-16,hyperscalers,2803,0.2961424207685561,3.247412999865067
2022-12-16,macro,4751,-1.6192990271166303,2.5555514674644626
2022-12-16,nvda,113,0.4219184687643174,2.359388432548294
2022-12-17,ai_companies,3,5.434016060372061,6.507146665910751
2022-12-17,brokers,554,-1.7447871780526514,2.770354010598489
2022-12-17,competitors,67,0.7940809830758466,2.377430020167596
2022-12-17,hyperscalers,1341,0.2911377683554558,2.735485461830867
2022-12-17,macro,2066,-2.2198225871746367,2.804866117571984
2022-12-17,nvda,39,0.7274976728660473,2.596885331992936
2022-12-18,brokers,324,-0.0743825009866907,2.4904349920266378
2022-12-18,competitors,55,0.9344212455602292,2.4115116346684005
2022-12-18,hyperscalers,981,0.2793587949545623,2.8939449209918746
2022-12-18,macro,1220,-1.7291046122820364,2.9967546000384333
2022-12-18,nvda,35,1.0731229381801923,2.7149684583399045
2022-12-19,ai_companies,7,3.6292407090083127,3.0202855123252483
2022-12-19,brokers,809,-0.6229061046436158,2.283960463191381
2022-12-19,competitors,139,1.5841145992183532,2.709648799563727
